,address,city,lat,lng,name,place_id,state
0,"1140 Connecticut Avenue Northwest, Washington, DC 20036, United States",D.C.,38.905086,-77.041311,Ann Taylor,ChIJmZCO77i3t4kRLNx3sOhNjvs,DC
1,"1100 South Hayes Street, Arlington, VA 22202, United States",Arlington,38.863492,-77.060651,Ann Taylor,ChIJcT6Y-962t4kRqLiWLfQP1wM,VA
2,"AMC Mazza Gallerie, 5300 Wisconsin Avenue Northwest, Washington, DC 20015, United States",D.C.,38.959597,-77.085803,Ann Taylor,ChIJeX08MZHJt4kRL7dSS7saixY,DC
3,"Union Station, Massachusetts Avenue Northeast, Washington, DC 20002, United States",D.C.,38.898039,-77.006707,Ann Taylor,ChIJ47kWxia4t4kRLDzFgg6Rkr0,DC
4,"7974A Tysons Corner Center, McLean, VA 22102, United States",McLean,38.917072,-77.223017,Ann Taylor,ChIJTb0g5ehKtokRVuJWFD4W9jU,VA
5,"11850 Market Street, Reston, VA 20190, United States",Fairfax County,38.958938,-77.355676,Ann Taylor,ChIJ6bcoZh9ItokRZgzy-blZPGk,VA
6,"600 13th Street Northwest #1, Washington, DC 20005, United States",D.C.,38.89784,-77.029965,Ann Taylor,ChIJgUp5-B7It4kRWzHaKlRXNvs,DC
7,"11610 Plaza America Drive, Reston, VA 20190, United States",Reston,38.95236,-77.34894,Ann Taylor,ChIJX_u7ryRItokRGj98T9Hqf1Q,VA
8,"7101 Democracy Blvd. #1058, Bethesda, MD 20817, United States",Bethesda,39.024345,-77.146147,Ann Taylor,ChIJRfvXJn7Mt4kRFOQoSeVcaqo,MD
9,"2001 International Drive, McLean, VA 22102, United States",Fairfax County,38.923685,-77.224438,Ann Taylor,ChIJF5S9PuxKtokRNyl6s8jeBQ0,VA
10,"31 Grand Corner Avenue, Gaithersburg, MD 20878, United States",Gaithersburg,39.118722,-77.203034,Ann Taylor,ChIJfZgvilEttokRGKRH2bQ8x2w,MD
11,"2800 Claredon Blvd Space R600, Market@Common Clared, Arlington, VA 22201, United States",Arlington,38.887257,-77.091902,Ann Taylor,ChIJnfviDoa2t4kRnbvdFULILeQ,VA
12,"Fair Oaks Mall, Fairfax, VA 22033, United States",Fairfax,38.863217,-77.359072,Ann Taylor,ChIJhb9naj9PtokR5oFpfDCwkmQ,VA
13,"11610 Plaza America Drive, Reston, VA 20190, United States",Reston,38.952137,-77.347372,Ann Taylor,ChIJtREjriRItokRVG642qCbxHU,VA
14,"9811 Washington Boulevard, Gaithersburg, MD 20878, United States",Gaithersburg,39.116844,-77.198862,Ann Taylor,ChIJe3hTNVIttokRGJ7lVfpmR68,MD
15,"7000 Arundel Mills Circle, Hanover, MD 21076, United States",Hanover,39.158797,-76.724845,Ann Taylor Factory Store,ChIJ60bl8ubjt4kRDuP1-S-GRqQ,MD
16,"102 Boardwalk Place, Gaithersburg, MD 20878, United States",Gaithersburg,39.118698,-77.203033,Ann Taylor,ChIJsVjvylEttokREHGVIFVn2Z4,MD
17,"1637 Rockville Pike, Rockville, MD 20852, United States",Rockville,39.062249,-77.127443,Loft,ChIJ-Q8fdsrNt4kRG4hdDsDHpJc,MD
18,"707 7th Street Northwest, Washington, DC 20001, United States",D.C.,38.899027,-77.021654,Loft,ChIJX2DN_423t4kRnx-1Xq65gM4,DC
19,"Arundel Mills, 7000 Arundel Mills Circle, Hanover, MD 21076, United States",Hanover,39.157349,-76.724716,U.S. Polo Assn. Outlet,ChIJoz5bXubjt4kRwMu7Ry5A7JA,MD
20,"7974 Tysons Corner Center, McLean, VA 22102, United States",McLean,38.918416,-77.222043,Loft,ChIJ4axBlehKtokRo9EAMKjcTKA,VA
21,"5179 Lee Highway, Arlington, VA 22207, United States",Arlington,38.896643,-77.133265,Reed's Custom Tailor,ChIJzwUxzUy0t4kR9D-SEne2gEk,VA
22,"922 Ellsworth Drive, Silver Spring, MD 20910, United States",Silver Spring,38.995641,-77.026356,Loft,ChIJ2ZeSObrIt4kRho6oasd3Uvo,MD
23,"1611 Connecticut Avenue Northwest #4A, Washington, DC 20009, United States",D.C.,38.911652,-77.044235,Loft,ChIJfSHfGsa3t4kRq8KzebyQhEk,DC
24,"1201 South Joyce Street, Arlington, VA 22202, United States",Arlington,38.863807,-77.063077,Loft,ChIJo1t1F9y2t4kRaB1dC8HooM4,VA
25,"2700 North Clarendon Boulevard, Arlington, VA 22201, United States",Arlington,38.887456,-77.09108,Loft,ChIJYXu_IIa2t4kRDoyDeo_f84A,VA
26,"1239 Wisconsin Avenue Northwest, Washington, DC 20007, United States",D.C.,38.906083,-77.062578,Loft,ChIJS1Ele0m2t4kRM7E9Gg-ecZE,DC
27,"423 King Street, Alexandria, VA 22314, United States",Alexandria,38.80494,-77.044493,Loft,ChIJE7Qm-vewt4kRwH7A2b_1Jzc,VA
28,"289 Muddy Branch Road, Gaithersburg, MD 20878, United States",Gaithersburg,39.12863,-77.207902,Tina's Consignment Shop Inc,ChIJm8cDu0cttokRliq4-3GsHs0,MD
29,"132 Church Street Northwest, Vienna, VA 22180, United States",Vienna,38.901253,-77.267094,Wardrobe Rescue,ChIJiyhgLcNLtokRdqwkq5xUzvM,VA
30,"220 North Frederick Road, Gaithersburg, MD 20877, United States",Gaithersburg,39.1437,-77.203595,Rugged Wearhouse,ChIJQT6Iwy4ttokRI1pTF_sGNbk,MD
31,"11924 Grand Commons Avenue, Fairfax, VA 22030, United States",Fairfax,38.85817,-77.357258,Loft,ChIJx6Bg-GpPtokRit_kMzAARTI,VA
32,"5320 Western Avenue, Chevy Chase, MD 20815, United States",Chevy Chase,38.96132,-77.08503,Talbots,ChIJ_Z-6ZgPJt4kRXNrkbaPa3Ls,MD
