,address,city,lat,lng,name,place_id,state
0,"601 13th Street Northwest, Washington, DC 20005, United States",D.C.,38.897518,-77.029176,Banana Republic,ChIJUd4gHpe3t4kRI8gT70of2DM,DC
1,"5430 Wisconsin Avenue, Chevy Chase, MD 20815, United States",Chevy Chase,38.962112,-77.086652,Banana Republic,ChIJoeIBv5DJt4kRpPFAG02oUqE,MD
2,"1100 South Hayes Street, Arlington, VA 22202, United States",Arlington County,38.86387,-77.060462,Banana Republic,ChIJcT6Y-962t4kRBVGexVZLXTo,VA
3,"628 King Street, Alexandria, VA 22314, United States",Alexandria,38.804836,-77.04676,Banana Republic,ChIJCXS8dviwt4kREYAPx_lu0ok,VA
4,"3200 M Street Nw, Wisconsin/Georgetown, Washington, DC 20007, United States",Washington,38.904965,-77.063039,Banana Republic,ChIJc8ojRUm2t4kRgTPf-wUB-h4,DC
5,"7937 Tysons Corner Center, McLean, VA 22102, United States",Fairfax County,38.917679,-77.221049,Banana Republic,ChIJTb0g5ehKtokRvhBItRgFNMM,VA
6,"11901 Democracy Drive, Reston, VA 20190, United States",Reston,38.957631,-77.35768,Banana Republic,ChIJJ33HNx9ItokRxW7Q97Mmv9k,VA
7,"11922U Fair Oaks Mall, Fair Oaks, Fairfax, VA 22033, United States",Fairfax,38.863076,-77.359502,Banana Republic,ChIJidNstkBPtokR41v_yWI6kEc,VA
8,"7101 Democracy Boulevard, Bethesda, MD 20817, United States",Bethesda,39.024396,-77.146068,Banana Republic,ChIJRfvXJn7Mt4kRAbIoWlucn-M,MD
9,"2700 Potomac Mills Cir, Potomac Mills, Woodbridge, VA 22192, United States",Woodbridge,38.644055,-77.292711,Banana Republic,ChIJ0fQlhwxWtokRolnivlKaM6Y,VA
10,"Arundel Mills, 7000 Arundel Mills Circle, Hanover, MD 21076, United States",Hanover,39.157923,-76.724503,Banana Republic,ChIJ60bl8ubjt4kRBq8rPlLEXZI,MD
11,"6800 Oxon Hill Rd, National Harbor, MD 20745, United States",National Harbor,38.794812,-77.00187,Banana Republic,ChIJ0V_s4YW6t4kRGrsL1fBo07s,MD
12,"1961 Chain Bridge Road #105, McLean, VA 22102, United States",McLean,38.917949,-77.219429,Banana Republic Petites,ChIJ6wy0Q-hKtokRuFqw6Qu-Bhg,VA
13,"Arundel Mills, 7000 Arundel Mills Circle, Hanover, MD 21076, United States",Hanover,39.157349,-76.724716,U.S. Polo Assn. Outlet,ChIJoz5bXubjt4kRwMu7Ry5A7JA,MD
14,"7349 Wisconsin Avenue, Bethesda, MD 20814, United States",Bethesda,38.983301,-77.093314,Mustard Seed,ChIJM1XB4HrJt4kR-bQBqQpbBdc,MD
