,address,city,lat,lng,name,place_id,state
0,"1611 Connecticut Avenue Northwest #4A, Washington, DC 20009, United States",D.C.,38.911652,-77.044235,Loft,ChIJfSHfGsa3t4kRq8KzebyQhEk,DC
1,"707 7th Street Northwest, Washington, DC 20001, United States",D.C.,38.899027,-77.021654,Loft,ChIJX2DN_423t4kRnx-1Xq65gM4,DC
2,"1201 South Joyce Street, Arlington, VA 22202, United States",Arlington,38.863807,-77.063077,Loft,ChIJo1t1F9y2t4kRaB1dC8HooM4,VA
3,"2700 North Clarendon Boulevard, Arlington, VA 22201, United States",Arlington,38.887456,-77.09108,Loft,ChIJYXu_IIa2t4kRDoyDeo_f84A,VA
4,"7974 Tysons Corner Center, McLean, VA 22102, United States",McLean,38.918416,-77.222043,Loft,ChIJ4axBlehKtokRo9EAMKjcTKA,VA
5,"1239 Wisconsin Avenue Northwest, Washington, DC 20007, United States",D.C.,38.906083,-77.062578,Loft,ChIJS1Ele0m2t4kRM7E9Gg-ecZE,DC
6,"922 Ellsworth Drive, Silver Spring, MD 20910, United States",Silver Spring,38.995641,-77.026356,Loft,ChIJ2ZeSObrIt4kRho6oasd3Uvo,MD
7,"1637 Rockville Pike, Rockville, MD 20852, United States",Rockville,39.062249,-77.127443,Loft,ChIJ-Q8fdsrNt4kRG4hdDsDHpJc,MD
8,"423 King Street, Alexandria, VA 22314, United States",Alexandria,38.80494,-77.044493,Loft,ChIJE7Qm-vewt4kRwH7A2b_1Jzc,VA
9,"11924 Grand Commons Avenue, Fairfax, VA 22030, United States",Fairfax,38.85817,-77.357258,Loft,ChIJx6Bg-GpPtokRit_kMzAARTI,VA
10,"8200 Meadowbrook Lane, Chevy Chase, MD 20815, United States",Chevy Chase,38.990645,-77.060514,Loft At Meadowbrook,ChIJS5xDZh_Jt4kR8mi2_a3usvk,MD
11,"31 Grand Corner Avenue, Gaithersburg, MD 20878, United States",Gaithersburg,39.118722,-77.203034,Ann Taylor,ChIJfZgvilEttokRGKRH2bQ8x2w,MD
12,"29 Grand Corner Avenue, Gaithersburg, MD 20878, United States",Gaithersburg,39.118665,-77.203295,Loft,ChIJm__Ad1EttokRfqZ-AZau_UE,MD
13,"11610 Plaza America Drive, Reston, VA 20190, United States",Reston,38.951822,-77.34715,LOFT,ChIJ7U_22SRItokR0c2HFWvn8UU,VA
14,"11924 Grand Commons Avenue, Fairfax, VA 22033, United States",Fairfax,38.858233,-77.357233,LOFT,ChIJR9XMx2pPtokRwfFrOSVwvEU,VA
15,"Anne Arundel County, MD, United States",Anne Arundel County,39.157277,-76.724408,Loft Outlet,ChIJYYK6hefjt4kRtG8UAvykRUE,MD
16,"11610 Plaza America Drive, Reston, VA 20190, United States",Reston,38.95236,-77.34894,Ann Taylor,ChIJX_u7ryRItokRGj98T9Hqf1Q,VA
17,"1100 South Hayes Street, Arlington, VA 22202, United States",Arlington,38.863492,-77.060651,Ann Taylor,ChIJcT6Y-962t4kRqLiWLfQP1wM,VA
18,"1140 Connecticut Avenue Northwest, Washington, DC 20036, United States",D.C.,38.905086,-77.041311,Ann Taylor,ChIJmZCO77i3t4kRLNx3sOhNjvs,DC
19,"2800 Claredon Blvd Space R600, Market@Common Clared, Arlington, VA 22201, United States",Arlington,38.887257,-77.091902,Ann Taylor,ChIJnfviDoa2t4kRnbvdFULILeQ,VA
20,"Arundel Mills, 7000 Arundel Mills Circle, Hanover, MD 21076, United States",Hanover,39.157349,-76.724716,U.S. Polo Assn. Outlet,ChIJoz5bXubjt4kRwMu7Ry5A7JA,MD
21,"AMC Mazza Gallerie, 5300 Wisconsin Avenue Northwest, Washington, DC 20015, United States",D.C.,38.959597,-77.085803,Ann Taylor,ChIJeX08MZHJt4kRL7dSS7saixY,DC
22,"Union Station, Massachusetts Avenue Northeast, Washington, DC 20002, United States",D.C.,38.898039,-77.006707,Ann Taylor,ChIJ47kWxia4t4kRLDzFgg6Rkr0,DC
23,"7974A Tysons Corner Center, McLean, VA 22102, United States",McLean,38.917072,-77.223017,Ann Taylor,ChIJTb0g5ehKtokRVuJWFD4W9jU,VA
24,"11850 Market Street, Reston, VA 20190, United States",Fairfax County,38.958938,-77.355676,Ann Taylor,ChIJ6bcoZh9ItokRZgzy-blZPGk,VA
25,"7101 Democracy Blvd. #1058, Bethesda, MD 20817, United States",Bethesda,39.024345,-77.146147,Ann Taylor,ChIJRfvXJn7Mt4kRFOQoSeVcaqo,MD
26,"2001 International Drive, McLean, VA 22102, United States",Fairfax County,38.923685,-77.224438,Ann Taylor,ChIJF5S9PuxKtokRNyl6s8jeBQ0,VA
27,"Fair Oaks Mall, Fairfax, VA 22033, United States",Fairfax,38.863217,-77.359072,Ann Taylor,ChIJhb9naj9PtokR5oFpfDCwkmQ,VA
28,"7000 Arundel Mills Circle, Hanover, MD 21076, United States",Hanover,39.158797,-76.724845,Ann Taylor Factory Store,ChIJ60bl8ubjt4kRDuP1-S-GRqQ,MD
29,"11610 Plaza America Drive, Reston, VA 20190, United States",Reston,38.952137,-77.347372,Ann Taylor,ChIJtREjriRItokRVG642qCbxHU,VA
30,"132 Church Street Northwest, Vienna, VA 22180, United States",Vienna,38.901253,-77.267094,Wardrobe Rescue,ChIJiyhgLcNLtokRdqwkq5xUzvM,VA
31,"210 South Union Street, Alexandria, VA 22314, United States",Alexandria,38.802178,-77.040501,Coco Blanca,ChIJ4xH3AnSwt4kR_bm-uFV07BE,VA
32,"2727 Merrilee Drive, Fairfax, VA 22031, United States",Fairfax,38.879454,-77.230066,Green & White Cleaners,ChIJJz0TRHBLtokRJjMoHQi1MTM,VA
33,"220 North Frederick Road, Gaithersburg, MD 20877, United States",Gaithersburg,39.1437,-77.203595,Rugged Wearhouse,ChIJQT6Iwy4ttokRI1pTF_sGNbk,MD
