,address,city,lat,lng,name,place_id,state
0,"3524 Connecticut Avenue Northwest, Washington, DC 20008, United States",D.C.,38.936285,-77.059222,Walgreens,ChIJo79VptPJt4kRFcHC02Gy8kI,DC
1,"1325 14th Street Northwest, Washington, DC 20005, United States",D.C.,38.908152,-77.031584,Walgreens,ChIJgzRD7eq3t4kR2F4ibpf2chg,DC
2,"2825 Wilson Boulevard, Arlington, VA 22201, United States",Arlington,38.889225,-77.092478,Walgreens,ChIJh7a_NYa2t4kRe08lvIwq8Mg,VA
3,"4225 Connecticut Avenue Northwest, Washington, DC 20008, United States",D.C.,38.944017,-77.062933,Walgreens,ChIJBxpyvs7Jt4kRBLkt8WuCpcY,DC
4,"6717 Richmond Highway, Alexandria, VA 22306, United States",Alexandria,38.771648,-77.080661,Walgreens,ChIJpUUOueCxt4kRVZlejWtTw6o,VA
5,"1217 22nd Street Northwest, Washington, DC 20037, United States",D.C.,38.905469,-77.048506,Walgreens,ChIJF2M3W7a3t4kR87oyV8iBPXk,DC
6,"615 King Street, Alexandria, VA 22314, United States",Alexandria,38.805251,-77.046321,Walgreens,ChIJOwu0cviwt4kRLSg6CDZuoWI,VA
7,"10320 Main Street, Fairfax, VA 22030, United States",Fairfax,38.846056,-77.302593,Walgreens,ChIJ6xjcm5FOtokRLWv6cungFOE,VA
8,"801 7th Street Northwest, Washington, DC 20001, United States",D.C.,38.900098,-77.021597,Walgreens,ChIJD7qo-Y23t4kRR0kRdZ05rQI,DC
9,"11215 New Hampshire Ave, Suite A, Silver Spring, MD 20904, United States",Silver Spring,39.041719,-76.991328,Walgreens,ChIJ9VgD7p7Ft4kRBLPK-6Q-4Ns,MD
10,"10101 River Road, Potomac, MD 20854, United States",Potomac,39.01789,-77.207731,Walgreens,ChIJl82jMaU0tokRk2ufvQLEmXU,MD
11,"225 Maple Avenue East, Vienna, VA 22180, United States",Vienna,38.903492,-77.261179,Walgreens,ChIJVWjhT7ZLtokRSIcMZ8ipqX0,VA
12,"1075 Seven Locks Road, Rockville, MD 20854, United States",Rockville,39.061614,-77.159868,Walgreens,ChIJh-UExuLMt4kRJstpfCI2SNI,MD
13,"9001 Woody Terrace, Clinton, MD 20735, United States",Clinton,38.766508,-76.887614,Walgreens,ChIJIbY_gMK8t4kRmle8HXebvHA,MD
14,"12601 Smoketown Road, Woodbridge, VA 22192, United States",Woodbridge,38.680056,-77.320031,Walgreens,ChIJMWK0_-9WtokRjV9A2Ub4fgE,VA
15,"7629 Richmond Highway, Alexandria, VA 22306, United States",Alexandria,38.750039,-77.082388,Walgreens,ChIJ8fefTRSut4kRgMR_gcaD-QM,VA
16,"600 Washington Boulevard, Laurel, MD 20707, United States",Laurel,39.098772,-76.848308,Walgreens,ChIJRzUnRm3dt4kRaMP3TWI7NaY,MD
17,"7008 Marlboro Pike, Forestville, MD 20747, United States",Forestville,38.850313,-76.885483,Walgreens,ChIJqxFSDO2-t4kRji5OhcAGQuk,MD
18,"15990 Annapolis Road, Bowie, MD 20715, United States",Bowie,38.982321,-76.728854,Walgreens,ChIJ3UgL2a3ut4kRe0aIgPirmnc,MD
19,"12651 Apollo Drive, Woodbridge, VA 22192, United States",Woodbridge,38.679597,-77.360709,Walgreens,ChIJweUxA3RXtokRFo9tePbfbi0,VA
20,"14095 Jefferson Davis Highway, Woodbridge, VA 22191, United States",Woodbridge,38.649205,-77.260103,Walgreens,ChIJHcwiWr9VtokRY__tljxNdHk,VA
21,"9372 Richmond Highway, Lorton, VA 22079, United States",Lorton,38.706605,-77.20526,Walgreens,ChIJjb5Nh1BTtokR2QO_82yZrzc,VA
22,"603 Elden Street, Herndon, VA 20170, United States",Herndon,38.968594,-77.381456,Walgreens,ChIJoZ9edQE4tokRgYatmoFy4WQ,VA
23,"2400 Jefferson Davis Highway, Arlington, VA 22202, United States",Arlington,38.852134,-77.053236,CVS Pharmacy - Photo,ChIJyxhGeim3t4kRexIZEJXuBU4,VA
24,"4238 Wilson Boulevard, Arlington, VA 22203, United States",Arlington,38.879606,-77.110105,CVS Pharmacy - Photo,ChIJJ2kMgiO0t4kRHy225r3Ur9U,VA
25,"110 Carroll Avenue Northwest, Washington, DC 20012, United States",D.C.,38.974542,-77.014684,CVS Pharmacy - Photo,ChIJ3WdeOYPIt4kRdNLNf-fFvKs,DC
